id,law_name,article,category,issued_date_raw,issued_date,document_no,title,start_printed_page,end_printed_page,start_physical_page,end_physical_page,keywords,source_quality,completeness_note,body,drive_url,source_url,list_url
interp-0001,護理人員法解釋彙編,第 1 條,,103.9.12,2014-09-12,衛部照字第1031561619號,有關 台端陳詢護理師證書資格疑義案，復如說明段，請,37,38,50,51,護理人員、護理師、執業登記、執業執照、停業、歇業、麻醉,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"103.9.12 衛部照字第1031561619 號函 
主旨：有關 台端陳詢護理師證書資格疑義案，復如說明段，請
查照。 
說明： 
一、復 台端 103 年 9 月 1 日陳情書辦理。 二、按護理人員法第1 條規定略以：「中華民國人民經護理人
員考試及格，並依本法領有護理人員證書者，得充護理人
員……」。暨同法第 3 條規定：「經護理人員考試及格者
，得請領護理人員證書」。另依同法第 6 條規定：有下列
情形一者，不得充護理人員；其已充護理人員者，撤銷或
廢止其護理人員證書： 
(一)曾犯肅清煙毒條例或麻醉藥品管理條例之罪，經判刑
確定。 
(二)曾犯毒品危害防制條例之罪，經判刑確定。 
(三)依本法受廢止護理人員證書處分。 
三、另據同法第 8 條規定：護理人員應向執業所在地直轄市、
縣（市）主管機關申請執業登記，領有執業執照，始得執
業。及第 11 條規定略以：「護理人員停業或歇業時，應
自事實發生之日起三十日內，報請原發執業執…」。 
四、綜上述，護理人員證書與護理人員執業執照係兩種不同證
明文件，領有護理師證書者，表示具有護理人員資格，如
未違反前述相關規定，則該證書具有永久效力。而如護理
人員欲執業時，依法須向執業所在地申請執業登記，領有
執照始得執業，如因故不再繼續執業，則依同法第 11 條
辦理歇業，原所持有執業執照須繳回執業縣市衛生局，並
於護理師證書背面註記登錄動態章戳。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0002,護理人員法解釋彙編,第 1 條,,106.4.14,2017-04-14,衛部照字第1060110015號,有關台端陳情「國立臺灣大學醫學院附設醫院（以下簡稱,38,39,51,52,護理人員,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"106.4.14 衛部照字第1060110015 號 
主旨：有關台端陳情「國立臺灣大學醫學院附設醫院（以下簡稱
臺大醫院）甄選護理系應屆畢業生之護理儲備人員，建議
男性護理畢業生應放寬申請條件至兵役結束後一年可以應
屆身分申請」一案，復請查照。 
說明： 
一、依據 106 年 4 月 5 日行政院性別平等處院臺性平字第
1060169355 號函轉台端陳情案辦理。 
二、有關台端陳情「臺大醫院甄選護理系應屆畢業生之護理儲 備人員，建議男性護理畢業生應放寬申請條件至兵役結束
後一年可以應屆身分申請」一案，本部相當重視並關心。 
三、經詢國立臺灣大學醫學院附設醫院人事室，該院表示每年
3 月會函請護理學校推薦該校應屆畢業之學生，並於 4 月
進行甄選，出缺按錄取名次依序進用。若非經該甄選管道
，亦可至該院徵才資訊網頁報名出缺之護理人員職缺。 
四、有關台端之建議，本部亦轉請臺大醫院於未來規劃甄選應
屆畢業生時，應考慮男性護理人員盡其服役義務時之工作
權利，彈性放寬男性應屆畢業甄選之申請條件。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0003,護理人員法解釋彙編,第 2 條,,106.4.14,2017-04-14,衛部照字第1060110015A號,有關貴院甄選護理系應屆畢業生之護理儲備人員，建議彈,39,39,52,52,護理人員、護理師,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"106.4.14 衛部照字第1060110015A 號 
主旨：有關貴院甄選護理系應屆畢業生之護理儲備人員，建議彈
性放寬男性應屆畢業甄選申請條件，請查照。 
說明： 
一、依據106 年 4 月 5 日行政院性別平等處(以下簡稱性平處)
院臺性平字第 1060169355 號函轉民眾陳情事項辦理。 
二、案係民眾陳情貴院徵選優秀應屆護理師規範不明，損害男
性護理師申請工作之權利，建議針對男性護理系(所)畢業
者放寬申請條件為「兵役結束一年內可以應屆身份申請」
。 
三、經詢貴院人事室表示每年3 月會函請護理學校推薦該校應
屆畢業之學生，並於 4 月進行甄選，出缺按錄取名次依序
進用。惟考量男性護理人員盡其服役義務時之工作權利，
建議貴院得彈性放寬男性應屆畢業甄選之申請條件。 
四、隨函檢附陳情內容供參(如附件)，請貴院依「行政院及所 
屬機關處理人民陳情案件要點」之規定予以保密。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0004,護理人員法解釋彙編,第 2 條,,88.10.15,1999-10-15,衛署醫字第88061415號,有關醫療院所護理長職稱，僅領有護士證書者，可否擔任 乙案，查依護理人員法規定，並無特別限制不得擔任，,39,40,52,53,護理人員、護士,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"88.10.15.衛署醫字第88061415 號函 
主旨：有關醫療院所護理長職稱，僅領有護士證書者，可否擔任 乙案，查依護理人員法規定，並無特別限制不得擔任， 
復請 查照。 
說明：復 貴局 88 年 9 月 8 日(88)基衛人字第10523 號函。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0005,護理人員法解釋彙編,第 2 條,,93.12.14,2004-12-14,衛署醫字第0930220481號,所詢醫療院所於夜間(即所謂「大夜班」)急診室之護理人,40,40,53,53,護理人員,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"93.12.14.衛署醫字第 0930220481 號書函 
主旨：所詢醫療院所於夜間(即所謂「大夜班」)急診室之護理人
員之配置人數， 有何相關規定？該規定有無以醫院之等級
，或者當時就診之急診病患人數為依據，而就夜間急診室
之護理人員配置人數為不同規定？又「醫佐」是否係屬護
理人員等情一案，復請 查照。 
說明： 
一、復 貴署 93 年 11 月 24 日苗檢惠廉 93 偵 3464 字第 16454 
號函。 
二、有關醫療院所護理人員之配置人數規定，係依「醫療機構
設置標準」規定辦理。 
三、至所詢「醫佐」之工作性質未明，查護理人員法並無此稱
謂。 
四、檢送醫療機構設置標準一份，請參考。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0006,護理人員法解釋彙編,第 2 條,,95.6.12,2006-06-12,衛署醫字第0950023280號,所詢「學校衛生護理人員是否為公共衛生護士」一案，復,40,41,53,54,護理人員、護理師、護士、公共衛生,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"95.6.12.衛署醫字第 0950023280 號書函 
主旨：所詢「學校衛生護理人員是否為公共衛生護士」一案，復
請 查照。 
說明： 
一、復 貴局95 年6 月2 日高市衛疾管字第0950018842號函。 
二、依護理人員法第 2 條規定，護理人員係指護理師及護士，
至學校衛生護理人員及所謂之公共衛生護士，係將執業場
所或業務特性予以區隔標示而言。查學校護理人員其工作
包括衛生保健、疾病管理及救護、傳染病防治、預防接種
及衛生教育等，係屬護理人員業務範疇，其工作性質亦屬
公共衛生業務範疇，是以，學校衛生護理人員得依衛生機
工作計畫或公函執行或協助公共衛生業務工作。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0007,護理人員法解釋彙編,第 10 條,,95.7.13,2006-07-13,衛署醫字第0950328158號,有關所詢「醫護」含義乙案，復如說明，請 查照。,41,42,54,55,護理人員、護理師、護士、照顧服務員,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"95.7.13.衛署醫字第0950328158 號函 
主旨：有關所詢「醫護」含義乙案，復如說明，請 查照。 
說明： 
一、復 台端 95 年 6 月 15 日致本署藥政處箋函。 
二、依醫療法第 10 條規定：「本法所稱醫事人員，係指領有
中央衛生主管機關核發之醫師、藥師、護理師、物理治療
師、職能治療師、醫事檢驗師、醫事放射師、營養師、藥
劑生、護士、助產士、物理治療生、職能治療生、醫事檢
驗生、醫事放射士及其他醫事專門職業證書之人員。本法
所稱醫師，係指醫師法所稱之醫師、中醫師及牙醫師」。 
三、又依護理人員法第 2 條規定：「本法所稱護理人員，指護
理師及護士」。查護理業務，是指涉屬足以影響人類身體
結構及生理機能之專業護理措施，應由護理人員執行；至
為因應我國長期照護人力需求，提昇照顧服務品質所訓練
之照顧服務員，其服務項目為家務、日常生活及身體照顧
服務，其服務範疇不得涉及醫療及護理行為，併予敘明。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0008,護理人員法解釋彙編,第 7-1 條,,87.1.14,1998-01-14,衛署醫字第86075939號,何○○係應 86 年中央暨地方機關公務人員升等考試薦任,42,42,55,55,護理人員、護理師、護士,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"87.1.14.衛署醫字第86075939 號函 
主旨：何○○係應 86 年中央暨地方機關公務人員升等考試薦任
升等考試護理助產職系公職護理 師考試及格，惟未領有護
理師證書，得否擔任護理師職務乙案，復請 查照。 
說明： 
一、復 貴部 86 年 12 月 19 日 86 台甄5 字第 1561752 號簡便
行文表。 
二、按護理人員法第 7 條規定，非領有護理師或護士證書者，
不得使用護理師或護士名稱。護理師或護士係屬專業名稱
，須經護理師或護士之專門職業考試，取得各該專業資格
後，方得使用；查何員僅具護士資格，其雖經86 年中央暨
地方機關公務人員升等考試薦任升等考試護理助產職系公
職護理師考試及格，惟未領有護理師證書，應不得擔任護
理師職務。 
（註：本函釋當事人之名字以○○表示）",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0009,護理人員法解釋彙編,第 7-1 條,,89.10.4,2000-10-04,衛署醫字第89033210號,所請將「專科護理師」法制化，以有效提昇護理師之角色,42,43,55,56,護理人員、護理師、專科護理師、傷口,參照摘要,彙編中此筆為短摘要或參照其他頁碼，非完整公文全文。,"89.10.4.衛署醫字第89033210 號函 
主旨：所請將「專科護理師」法制化，以有效提昇護理師之角色
功能，部份解決醫師人力的不足乙案，復請 查照。 
說明： 
一、復 貴局89 年6 月22 日北市衛五字第8922669300號函。 
二、貴局建請修改護理人員法，將專科護理師業務範圍擴大其 輔助醫療之範圍，俾讓專科護理師合法延伸其角色乙節，
經查本署刻正修訂醫療法，於該法修正草案訂定臨床助理
制度，明訂臨床助理應由經適當訓練之護理人員擔任，且
可依醫囑協助醫師執行下列行為 ：(1)協助住院病人身體理
學檢查之初步評估及病情詢問 。(2)協助填寫檢驗單 、 特殊
檢查單、會診單、轉診單及診斷證明等各項臨床單據。(3)
協助記錄住院病人病情及各項檢查 、 檢驗結果 。(4)於現場
協助醫師為臨床處置 。(5)簡易之傷口處置 、 導管更換及非
侵入性檢查之技術操作 。(6)協助處理住院病人或其家屬醫
療諮詢及病情之說明。透過該制度之施行，應可提升護理
師之角色功能及部分解決醫師人力不足之問題。 
三、另查護理人員法並已修正納入專科護理師制度，其修正草
案刻正立法院審議中。 
（註 ：1.醫療法第58 條經規定 「醫療機構不得置臨床助理執行醫療業
務」，意即臨床助理若執行醫療業務，需具備醫事人員資格
，始 得為之，請 參閱 P.247 本署 101.3.29.衛署醫字 第
1010064877 號函。 
2.專科護理師執業範圍，請參閱P.245 本署 96.6.20.衛署照字
第 0962801033 號函。）",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0010,護理人員法解釋彙編,第 7-1 條,,94.11.9,2005-11-09,衛署醫字第0940058715號,有關坊間美容中心及SPA 美容沙龍，未聘僱護理人員執業,43,44,56,57,護理人員、護理師、護士、醫療輔助、廣告,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"94.11.9.衛署醫字第0940058715 號書函 
主旨：有關坊間美容中心及SPA 美容沙龍，未聘僱護理人員執業
，常以「XX 護理」二字作廣告宣傳，所詢該行為是否逾越
醫療相關法規之規定一案，復請 查照。 
說明： 
一、復 貴局 94 年 10 月 27 日北市衛醫護字第 09438269001
號函。 
二、按「中華民國人民經護理人員考試及格，並依本法領有護
理人員證書者，得充護理人員。」、「本法所稱護理人員
，指護理師及護士」、「非領有護理師或護士證書者，不
得使用護理師或護士名稱」，為護理人員法第 1 條第 1 項 、第2 條及第7 條所明定。是以，不具護理人員資格而使
用護理師或護士名稱者，則依違反護理人員法第 38 條規
定論處。 
三、又按護理人員法第 24 條規定：「護理人員之業務如左：
一、健康問題之護理評估。二、預防保健之護理措施。三
、護理指導及諮詢。四、醫療輔助行為。前項第4 款醫療
輔助行為應在醫師之指示下行之。」前該護理業務之執行
，涉屬足以影響人類身體結構及生理機能之專業護理措施。 
四、至「護理」一詞之使用方式，如足使社會大眾誤認為護理
機構、醫療機構或護理人員執業之業務項目時，即應依護
理人員法及其相關法規規定論處。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
